  df = pd.read_sql(query, connection)
Epoch 141/200 | Train Loss: 0.3066 | Test Loss: 0.2979
Epoch 142/200 | Train Loss: 0.3055 | Test Loss: 0.2968
Epoch 143/200 | Train Loss: 0.3044 | Test Loss: 0.2958
Epoch 144/200 | Train Loss: 0.3034 | Test Loss: 0.2948
Epoch 145/200 | Train Loss: 0.3023 | Test Loss: 0.2938
Epoch 146/200 | Train Loss: 0.3013 | Test Loss: 0.2928
Epoch 147/200 | Train Loss: 0.3003 | Test Loss: 0.2918
Epoch 148/200 | Train Loss: 0.2992 | Test Loss: 0.2908
Epoch 149/200 | Train Loss: 0.2982 | Test Loss: 0.2898
Epoch 150/200 | Train Loss: 0.2972 | Test Loss: 0.2888
Epoch 151/200 | Train Loss: 0.2962 | Test Loss: 0.2879
Epoch 152/200 | Train Loss: 0.2952 | Test Loss: 0.2869
Epoch 153/200 | Train Loss: 0.2942 | Test Loss: 0.2859
Epoch 154/200 | Train Loss: 0.2932 | Test Loss: 0.2850
Epoch 155/200 | Train Loss: 0.2922 | Test Loss: 0.2840
Epoch 156/200 | Train Loss: 0.2913 | Test Loss: 0.2831
Epoch 157/200 | Train Loss: 0.2903 | Test Loss: 0.2821
Epoch 158/200 | Train Loss: 0.2893 | Test Loss: 0.2812
Epoch 159/200 | Train Loss: 0.2884 | Test Loss: 0.2803
Epoch 160/200 | Train Loss: 0.2874 | Test Loss: 0.2794
Epoch 161/200 | Train Loss: 0.2865 | Test Loss: 0.2785
Epoch 162/200 | Train Loss: 0.2855 | Test Loss: 0.2776
Epoch 163/200 | Train Loss: 0.2846 | Test Loss: 0.2767
Epoch 164/200 | Train Loss: 0.2837 | Test Loss: 0.2758
Epoch 165/200 | Train Loss: 0.2828 | Test Loss: 0.2749
Epoch 166/200 | Train Loss: 0.2818 | Test Loss: 0.2740
Epoch 167/200 | Train Loss: 0.2809 | Test Loss: 0.2731
Epoch 168/200 | Train Loss: 0.2800 | Test Loss: 0.2722
Epoch 169/200 | Train Loss: 0.2791 | Test Loss: 0.2714
Epoch 170/200 | Train Loss: 0.2782 | Test Loss: 0.2705
Epoch 171/200 | Train Loss: 0.2774 | Test Loss: 0.2696
Epoch 172/200 | Train Loss: 0.2765 | Test Loss: 0.2688
Epoch 173/200 | Train Loss: 0.2756 | Test Loss: 0.2680
Epoch 174/200 | Train Loss: 0.2747 | Test Loss: 0.2671
Epoch 175/200 | Train Loss: 0.2739 | Test Loss: 0.2663
Epoch 176/200 | Train Loss: 0.2730 | Test Loss: 0.2654
Epoch 177/200 | Train Loss: 0.2722 | Test Loss: 0.2646
Epoch 178/200 | Train Loss: 0.2713 | Test Loss: 0.2638
Epoch 179/200 | Train Loss: 0.2705 | Test Loss: 0.2630
Epoch 180/200 | Train Loss: 0.2696 | Test Loss: 0.2622
Epoch 181/200 | Train Loss: 0.2688 | Test Loss: 0.2614
Epoch 182/200 | Train Loss: 0.2680 | Test Loss: 0.2606
Epoch 183/200 | Train Loss: 0.2672 | Test Loss: 0.2598
Epoch 184/200 | Train Loss: 0.2663 | Test Loss: 0.2590
Epoch 185/200 | Train Loss: 0.2655 | Test Loss: 0.2582
Epoch 186/200 | Train Loss: 0.2647 | Test Loss: 0.2574
Epoch 187/200 | Train Loss: 0.2639 | Test Loss: 0.2566
Epoch 188/200 | Train Loss: 0.2631 | Test Loss: 0.2559
Epoch 189/200 | Train Loss: 0.2623 | Test Loss: 0.2551
Epoch 190/200 | Train Loss: 0.2615 | Test Loss: 0.2543
Epoch 191/200 | Train Loss: 0.2608 | Test Loss: 0.2536
Epoch 192/200 | Train Loss: 0.2600 | Test Loss: 0.2528
Epoch 193/200 | Train Loss: 0.2592 | Test Loss: 0.2521
Epoch 194/200 | Train Loss: 0.2585 | Test Loss: 0.2513
Epoch 195/200 | Train Loss: 0.2577 | Test Loss: 0.2506
Epoch 196/200 | Train Loss: 0.2569 | Test Loss: 0.2498
Epoch 197/200 | Train Loss: 0.2562 | Test Loss: 0.2491
Epoch 198/200 | Train Loss: 0.2554 | Test Loss: 0.2484
Epoch 199/200 | Train Loss: 0.2547 | Test Loss: 0.2477
Epoch 200/200 | Train Loss: 0.2540 | Test Loss: 0.2469

Process finished with exit code 0
